Parent MNE	WikiID		WikiTopic		MID		Weight
Aflac Inc	Q26311	>>	Aflac	>>	/m/01xs7c	>>	100
Agricultural Bank of China Ltd	Q26298	>>	Agricultural_Bank_of_China	>>	/m/01x1nt	>>	100
Air Liquide SA	Q407448	>>	Air_Liquide	>>	/m/079tgb	>>	81,48578336
Air Liquide SA	Q80635	>>	Airgas	>>	/m/0g2x56	>>	12,20122431
Air Liquide SA	Q877635	>>	Lurgi_AG	>>	/m/0dlmt2	>>	4,939780597
Air Liquide SA	Q2029945	>>	SEPPIC	>>	/m/0g558ww	>>	1,373211735
Airbus SE	Q2311	>>	Airbus_Group	>>	/g/11bc58lzpk	>>	36,01999243
Airbus SE	Q155573	>>	Airbus_Helicopters	>>	/m/0n3z0	>>	24,86657007
Airbus SE	Q15529123	>>	Airbus_Defence_and_Space	>>	/m/0zwn9x1	>>	16,37707929
Airbus SE	Q309867	>>	Arianespace	>>	/m/013qr	>>	8,909961869
Airbus SE	Q19951610	>>	ArianeGroup	>>	/g/11b7lmnwp0	>>	6,705660754
Airbus SE	Q20177373	>>	Stelia_Aerospace	>>	/m/013chv_d	>>	3,522885631
Airbus SE	Q830810	>>	Premium_AEROTEC	>>	/m/0gj9ln7	>>	1,880598169
Airbus SE	Q2225843	>>	Satair	>>	/g/122vxkjs	>>	0,942304453
Airbus SE	Q28493630	>>	Stormshield	>>	/g/11c1kc6t0r	>>	0,774947332
Al Rajhi Banking & Investment Corporation SJSC	Q1761176	>>	Al-Rajhi_Bank	>>	/m/0blbmw	>>	100
Alibaba Group Holding Ltd	Q1359568	>>	Alibaba_Group	>>	/m/07s6ctl	>>	68,57271263
Alibaba Group Holding Ltd	Q1198574	>>	South_China_Morning_Post	>>	/m/017t51	>>	10,42653622
Alibaba Group Holding Ltd	Q18712406	>>	Lazada_Group	>>	/g/11bvg1w42z	>>	7,714788964
Alibaba Group Holding Ltd	Q2829108	>>	Tmall	>>	/m/0gywdrz	>>	3,878896533
